Address: 268435456, Value: 10
Address: 268435458, Value: 20
Address: 268435460, Value: 30
Address: 268435462, Value: 40
Address: 268435464, Value: 50
Address: 268435466, Value: 72
Address: 268435467, Value: 101
Address: 268435468, Value: 108
Address: 268435469, Value: 108
Address: 268435470, Value: 111
Address: 268435471, Value: 44
Address: 268435472, Value: 32
Address: 268435473, Value: 87
Address: 268435474, Value: 111
Address: 268435475, Value: 114
Address: 268435476, Value: 108
Address: 268435477, Value: 100
Address: 268435478, Value: 33
Address: 268435479, Value: 0
Address: 268435480, Value: 1
Address: 268435481, Value: 2
Address: 268435482, Value: 3
Address: 268435483, Value: 4
Address: 268435484, Value: 5
